name,label,rt_min,rt_max,rt_peak,mz,mz_tolerance,polarity
&beta;-alanine betaine,Alanine betaine,5.67,6.27,5.97,132.1018847,10,positive
L-proline betaine,Stachyhydrone (proline betaine),5.76,6.36,6.06,144.1018847,10,positive
trimethylamine <i>N</i>-oxide,TMAO (trimethylamine N-oxide),6.24,6.84,6.54,76.07567,10,positive
glycine betaine,betaine (glycine betaine),6.35,6.95,6.65,118.086235,10,positive
,Arsenobetaine,6.36,6.96,6.66,179.004757,10,positive
Trigonelline,Trigonelline,7.11,7.71,7.41,138.054935,10,positive
Betonicine,Betonicine,7.88,8.48,8.18,160.0967993,10,positive
Beta-alanine betaine,Propiobetaine (or beta-alanine betaine),9.15,9.75,9.45,132.1018847,10,positive
2-(&alpha;-D-glucopyranosyl)-<i>sn</i>-glycerol,glucosylglycerol,9.41,10.01,9.71,255.107424,10,positive
Butyrobetaine,Butyrobetaine (or 4-trimethylammoniobutanoic acid),9.62,10.22,9.92,146.1175347,10,positive
ergothioneine,Ergothioneine,10.56,11.16,10.86,230.095755,10,positive
taurine,Taurine,11.2,11.8,11.5,126.021922,10,positive
